FileName,CX,CY,W,H,Class
image no (2).jpeg,46,89,42,27,mask
image no (2).jpeg,218,31,40,36,mask
image no (2).jpeg,6,195,53,34,mask
image no (2).jpeg,194,196,56,30,mask
image no (2).jpeg,166,274,37,49,mask
image no (2).jpeg,283,304,42,32,mask
image no (2).jpeg,452,208,37,38,mask
image no (2).jpeg,486,31,33,40,mask
image no (2).jpeg,285,76,49,29,mask
image no (2).jpeg,513,108,50,35,mask
image no (2).jpeg,606,17,52,35,mask
image no (2).jpeg,710,122,37,36,mask
image no (2).jpeg,618,240,50,32,mask
image no (2).jpeg,482,292,56,44,mask
image no (3).jpg,155,394,212,369,vest
image no (3).jpg,384,412,180,394,vest
image no (3).jpg,671,392,200,397,vest
image no (3).jpg,504,369,210,417,vest
image no (4).jpeg,620,197,78,63,mask
image no (4).jpeg,478,212,64,45,mask
image no (4).jpeg,378,296,64,53,mask
image no (4).jpeg,108,201,123,87,mask
image no (4).jpeg,730,191,51,57,mask
image no (4).jpeg,849,238,77,74,mask
image no (5).jpeg,130,849,148,86,mask
image no (5).jpeg,698,748,109,76,mask
image no (5).jpeg,959,604,109,94,mask
image no (5).jpeg,797,584,99,94,mask
image no (5).jpeg,409,396,107,89,mask
image no (5).jpeg,531,375,104,78,mask
image no (5).jpeg,263,44,99,86,mask
image no (5).jpeg,1068,138,109,89,mask
image no (5).jpeg,1485,383,115,76,mask
image no (5).jpeg,2074,828,182,120,mask
image no (5).jpeg,1646,761,159,117,mask
image no (5).jpeg,1811,1146,120,141,mask
image no (5).jpeg,2194,1365,143,109,mask
image no (5).jpeg,1159,1034,138,120,mask
image no (5).jpeg,1008,1469,175,89,mask
image no (5).jpeg,474,1284,206,120,mask
image no (5).jpeg,1039,795,169,94,mask
image no (5).jpeg,1141,438,107,83,mask
image no (5).jpeg,972,305,96,70,mask
image no (5).jpeg,1352,208,83,78,mask
image no (5).jpeg,2095,344,99,122,mask
image no (6).jpeg,78,165,148,119,hardhat
image no (7).jpeg,142,64,123,86,hardhat
image no (8).jpeg,14,228,202,276,vest
image no (8).jpeg,94,169,257,256,vest
image no (8).jpeg,107,72,320,288,vest
image no (9).jpg,499,54,255,195,hardhat
image no (9).jpg,383,362,459,739,vest
image no (10).jpg,239,107,219,173,hardhat
image no (10).jpg,86,349,389,332,vest
image no (11).jpg,158,7,74,49,hardhat
image no (11).jpg,381,2,88,33,hardhat
image no (11).jpg,118,89,137,187,vest
image no (11).jpg,346,64,148,179,vest
image no (12).jpg,200,7,148,97,hardhat
image no (12).jpg,260,149,258,306,vest
image no (13).jpg,38,128,165,224,vest
image no (13).jpg,315,176,107,232,vest
image no (14).jpg,392,268,436,660,vest
image no (15).jpg,158,23,132,67,hardhat
image no (15).jpg,162,178,173,146,vest
image no (16).jpg,184,40,130,183,vest
image no (16).jpg,414,87,100,197,vest
image no (16).jpg,526,101,72,152,vest
image no (16).png,13,44,281,213,hardhat
image no (17).jpg,897,114,293,216,hardhat
image no (17).jpg,1259,286,220,194,hardhat
image no (17).jpg,785,373,486,413,vest
image no (17).jpg,1307,542,272,236,vest
image no (18).jpg,221,28,174,91,hardhat
image no (18).jpg,407,105,149,105,hardhat
image no (18).jpg,662,25,157,112,hardhat
image no (18).jpg,129,214,243,461,vest
image no (18).jpg,380,300,315,381,vest
image no (18).jpg,688,239,306,429,vest
image no (18).png,304,24,266,152,hardhat
image no (19).jpg,327,115,400,293,boots
image no (19).jpg,737,84,331,265,boots
image no (19).png,190,182,32,30,hardhat
image no (19).png,237,191,38,35,hardhat
image no (19).png,167,220,47,74,vest
image no (19).png,227,231,50,80,vest
image no (20).jpg,22,111,519,786,boots
image no (20).png,171,4,211,108,hardhat
image no (21).png,281,36,299,155,hardhat
image no (21).png,207,437,493,689,vest
image no (22).jpg,98,161,712,883,boots
image no (22).png,32,370,114,45,boots
image no (22).png,58,87,109,128,vest
image no (23).jpg,129,606,157,322,boots
image no (23).jpg,358,620,213,327,boots
image no (23).jpg,37,397,97,101,boots
image no (23).jpg,155,400,44,90,boots
image no (24).jpg,226,118,228,274,boots
image no (24).jpg,487,161,317,343,boots
image no (24).jpg,873,285,417,429,boots
image no (25).jpg,105,47,302,546,boots
image no (25).jpg,398,4,296,346,boots
image no (26).jpg,31,350,593,562,boots
image no (27).jpg,144,127,179,178,boots
image no (28).jpg,39,113,160,142,boots
image no (28).jpg,136,4,142,164,boots
image no (29).jpg,77,362,501,567,boots
image no (30).jpg,198,81,186,340,boots
image no (30).jpg,588,125,350,336,boots
image no (31).jpg,202,197,292,316,boots
image no (32).jpg,314,224,156,340,boots
image no (33).jpg,50,415,131,79,boots
image no (33).jpg,335,195,351,253,boots
image no (34).jpg,484,336,577,336,boots
image no (35).jpg,343,231,1096,723,boots
image no (36).jpg,130,45,453,882,boots
image no (37).jpg,65,344,1312,1465,boots
image no (38).jpg,763,124,444,501,boots
image no (39).jpg,329,551,319,386,boots
image no (40).jpg,260,384,208,192,boots
image no (40).jpg,696,762,136,122,boots
image no (40).jpg,706,200,54,64,mask
image no (41).jpg,282,205,242,204,boots
image no (41).jpg,530,295,241,111,boots
image no (42).jpg,197,517,391,352,boots
image no (43).jpg,191,80,322,340,boots
image no (43).jpg,437,66,255,288,boots
image no (44).jpg,537,109,298,396,boots
image no (44).jpg,185,340,315,116,boots
image no (45).jpg,3,198,603,777,boots
image no (46).jpg,187,487,435,474,boots
image no (47).jpg,85,581,224,212,boots
image no (47).jpg,487,597,240,189,boots
image no (47).jpg,921,625,196,144,boots
image no (48).jpg,174,186,313,398,boots
image no (48).jpg,509,158,344,429,boots
image no (49).jpg,94,331,298,347,boots
image no (49).jpg,467,331,161,395,boots
image no (49).jpg,900,362,231,389,boots
image no (50).jpg,325,248,280,362,boots
image no (51).jpg,19,472,282,187,boots
image no (52).jpg,280,485,410,337,boots
image no (53).jpg,326,1150,332,335,boots
image no (54).jpg,153,512,648,641,boots
image no (55).jpg,207,83,669,548,boots
image no (56).jpg,94,207,484,592,boots
image no (56).jpg,671,261,479,538,boots
image no (57).jpg,145,193,438,452,boots
image no (57).jpg,763,153,403,427,boots
image no (58).jpg,246,268,447,453,boots
image no (58).jpg,810,456,309,278,boots
image no (59).jpg,251,441,354,265,mask
image no (59).jpg,726,451,227,232,mask
image no (59).jpg,1001,458,128,150,mask
image no (60).jpg,675,512,138,120,mask
image no (60).jpg,1117,516,164,74,mask
image no (60).jpg,1563,464,140,96,mask
image no (61).jpg,923,232,310,288,mask
image no (62).jpg,541,112,162,158,mask
image no (63).jpg,301,241,137,99,mask
image no (63).jpg,852,185,172,129,mask
image no (64).jpg,688,225,295,362,mask
image no (65).jpg,36,256,37,29,mask
image no (65).jpg,142,240,31,32,mask
image no (65).jpg,233,257,42,27,mask
image no (65).jpg,321,227,39,40,mask
image no (65).jpg,402,241,44,31,mask
image no (65).jpg,473,262,53,34,mask
image no (65).jpg,574,238,43,37,mask
image no (65).jpg,531,208,34,34,mask
image no (65).jpg,449,221,33,36,mask
image no (65).jpg,366,201,29,35,mask
image no (65).jpg,286,196,30,40,mask
image no (65).jpg,192,200,33,34,mask
image no (65).jpg,94,196,34,35,mask
image no (65).jpg,16,205,32,29,mask
image no (66).jpg,378,181,143,104,mask
image no (66).jpg,115,307,137,121,mask
image no (66).jpg,63,230,62,93,mask
image no (66).jpg,769,150,84,88,mask
image no (66).jpg,897,151,102,86,mask
image no (66).jpg,1047,152,107,87,mask
image no (66).jpg,840,25,63,76,mask
image no (66).jpg,679,13,65,59,mask
image no (66).jpg,243,163,55,71,mask
image no (68).jpg,4,416,324,317,mask
image no (68).jpg,614,542,270,259,mask
image no (68).jpg,1180,225,248,180,mask
image no (69).jpg,179,617,235,203,mask
image no (69).jpg,459,186,92,73,mask
image no (69).jpg,1071,909,205,241,mask
image no (69).jpg,821,181,77,64,mask
image no (69).jpg,166,162,94,60,mask
image no (69).jpg,19,179,77,83,mask
image no (70).jpg,254,189,131,107,mask
image no (70).jpg,450,324,101,113,mask
image no (71).jpg,330,232,106,78,mask
image no (71).jpg,504,300,99,62,mask
image no (71).jpg,649,286,51,54,mask
image no (72).jpg,73,168,108,76,mask
image no (72).jpg,267,161,154,100,mask
image no (73).jpg,346,204,250,168,mask
image no (75).jpg,614,338,120,119,mask
image no (77).jpg,64,208,228,192,mask
image no (77).jpg,532,130,90,67,mask
image no (78).jpg,136,562,406,302,mask
image no (79).jpg,318,232,157,110,mask
image no (80).jpg,82,42,60,57,mask
image no (80).jpg,335,67,71,49,mask
image no (80).jpg,504,74,68,58,mask
image no (81).jpg,220,311,216,149,mask
image no (81).jpg,114,149,119,117,mask
image no (81).jpg,609,179,171,140,mask
image no (81).jpg,777,443,179,181,mask
image no (81).jpg,1250,274,179,194,mask
image no (81).jpg,1643,384,212,261,mask
image no (81).jpg,1870,333,205,162,mask
image no (82).jpg,864,243,164,106,mask
image no (82).jpg,605,296,146,96,mask
image no (82).jpg,146,208,99,81,mask
image no (83).jpg,434,1060,382,227,mask
image no (83).jpg,963,736,299,225,mask
image no (83).jpg,1669,970,332,257,mask
image no (83).jpg,1487,579,244,269,mask
image no (83).jpg,1115,220,247,220,mask
image no (83).jpg,262,484,239,225,mask
image no (83).jpg,97,886,212,267,mask
image no (84).jpg,138,514,277,200,mask
image no (84).jpg,516,646,313,261,mask
image no (84).jpg,900,229,268,232,mask
image no (84).jpg,1264,411,332,220,mask
image no (85).jpg,556,118,100,89,mask
image no (85).jpg,746,210,83,102,mask
image no (86).jpg,172,245,204,129,mask
image no (86).jpg,544,152,84,103,mask
image no (86).jpg,674,157,45,70,mask
image no (87).jpg,314,130,45,39,mask
image no (87).jpg,464,132,40,31,mask
image no (88).jpg,82,193,100,67,mask
image no (88).jpg,160,269,90,64,mask
image no (88).jpg,272,295,119,78,mask
image no (88).jpg,449,247,121,118,mask
image no (88).jpg,722,345,107,119,mask
image no (88).jpg,655,160,119,98,mask
image no (88).jpg,1013,363,138,106,mask
image no (89).jpg,237,180,45,49,mask
image no (89).jpg,275,75,54,49,mask
image no (89).jpg,392,141,47,47,mask
image no (89).jpg,449,181,39,46,mask
image no (89).jpg,498,195,43,35,mask
image no (89).jpg,535,68,52,47,mask
image no (90).jpg,193,68,81,108,mask
image no (91).jpg,422,327,109,111,mask
image no (91).jpg,586,363,158,172,mask
image no (91).jpg,837,516,114,106,mask
image no (92).jpg,464,327,308,195,mask
image no (93).jpg,81,527,221,134,mask
image no (93).jpg,495,426,104,119,mask
image no (93).jpg,632,483,182,156,mask
image no (93).jpg,846,381,93,87,mask
image no (93).jpg,987,354,83,74,mask
image no (93).jpg,1193,360,90,123,mask
image no (94).jpg,2,7,635,399,boots
image no (94).jpg,651,21,385,553,hardhat
image no (95).jpg,67,350,1833,1317,hardhat
image no (96).jpg,342,66,332,217,hardhat
image no (97).jpg,253,287,282,313,hardhat
image no (98).jpg,19,37,308,185,mask
image no (99).jpg,196,4,137,76,hardhat
image no (99).jpg,229,176,124,235,vest
image no (99).jpg,187,658,163,127,boots
image no (99).jpg,195,100,43,49,mask
image no (100).jpg,212,166,183,189,hardhat
image no (101).jpg,472,60,280,196,hardhat
image no (101).jpg,526,397,252,451,vest
image no (102).jpg,284,52,226,170,hardhat
image no (102).jpg,438,4,198,268,vest
image no (103).jpg,32,67,463,301,hardhat
image no (104).jpg,51,24,33,39,hardhat
image no (104).jpg,108,29,68,40,hardhat
image no (104).jpg,214,22,77,42,hardhat
image no (104).jpg,365,4,51,51,hardhat
image no (104).jpg,488,32,66,42,hardhat
image no (104).jpg,21,88,81,136,vest
image no (104).jpg,95,69,123,179,vest
image no (104).jpg,192,55,126,203,vest
image no (104).jpg,331,63,130,203,vest
image no (104).jpg,471,83,128,173,vest
image no (105).jpg,1209,143,872,305,hardhat
image no (105).jpg,1102,891,1186,1021,vest
image no (106).jpg,6,4,107,121,hardhat
image no (106).jpg,214,20,85,73,hardhat
image no (106).jpg,312,63,101,89,hardhat
image no (106).jpg,600,26,151,104,hardhat
image no (106).jpg,10,186,222,336,vest
image no (106).jpg,137,97,144,146,vest
image no (106).jpg,185,200,264,320,vest
image no (106).jpg,462,214,316,299,vest
image no (107).jpg,61,90,630,418,hardhat
image no (107).jpg,4,688,547,376,vest
image no (108).jpg,109,17,38,18,hardhat
image no (108).jpg,96,62,61,80,vest
image no (108).jpg,118,41,26,16,mask
image no (108).jpg,102,216,59,38,boots
image no (109).jpg,62,24,1102,369,hardhat
image no (110).jpg,270,189,229,148,hardhat
image no (110).jpg,521,245,200,146,hardhat
image no (110).jpg,863,150,216,119,hardhat
image no (110).jpg,1184,311,233,124,hardhat
image no (110).jpg,82,507,354,663,vest
image no (110).jpg,455,552,338,618,vest
image no (110).jpg,776,414,375,719,vest
image no (110).jpg,1190,612,402,575,vest
image no (111).jpg,1,46,112,66,hardhat
image no (111).jpg,199,10,105,74,hardhat
image no (111).jpg,3,146,147,256,vest
image no (111).jpg,175,107,217,289,vest
image no (111).jpg,531,110,77,83,hardhat
image no (111).jpg,502,238,103,159,vest
image no (112).jpg,191,157,519,389,boots
image no (112).jpg,814,108,482,375,hardhat
image no (113).jpg,59,193,27,37,boots
image no (113).jpg,123,170,19,28,boots
image no (113).jpg,178,183,10,17,boots
image no (113).jpg,201,147,27,30,boots
image no (113).jpg,248,156,27,27,boots
image no (114).jpg,100,53,637,317,boots
image no (115).jpg,10,131,232,241,hardhat
image no (115).jpg,260,200,345,185,hardhat
image no (116).jpg,350,1,220,350,vest
image no (116).jpg,276,132,113,142,hardhat
image no (117).jpg,311,33,380,456,vest
image no (117).jpg,732,37,423,444,boots
image no (117).jpg,563,487,416,292,hardhat
image no (118).jpg,91,157,199,142,vest
image no (118).jpg,316,93,261,280,vest
image no (118).jpg,563,642,111,53,boots
image no (119).jpg,4,4,494,369,hardhat
image no (120).jpg,178,43,778,967,boots
image no (121).jpg,371,158,143,106,hardhat
image no (121).jpg,338,325,240,403,vest
image no (121).jpg,320,1104,247,167,boots
image no (122).jpg,396,58,164,118,hardhat
image no (122).jpg,282,236,347,449,vest
image no (122).jpg,218,1042,320,208,boots
image no (123).jpg,503,4,241,112,hardhat
image no (124).jpg,63,101,940,739,boots
image no (124).jpg,1231,75,944,590,hardhat
image no (124).jpg,940,911,843,1209,vest
image no (125).jpg,275,0,110,36,hardhat
image no (125).jpg,410,3,104,38,hardhat
image no (125).jpg,222,104,196,184,vest
image no (125).jpg,424,100,237,193,vest
image no (126).jpg,577,47,144,107,hardhat
image no (126).jpg,597,187,94,54,mask
image no (126).jpg,528,266,238,363,vest
image no (126).jpg,547,1082,266,32,boots
image no (127).jpg,142,144,778,576,boots
image no (128).jpg,485,46,207,129,hardhat
image no (128).jpg,426,253,253,407,vest
image no (128).jpg,623,196,61,49,mask
image no (128).jpg,353,1110,391,108,boots
image no (129).jpg,316,106,223,100,hardhat
image no (129).jpg,275,260,264,433,vest
image no (129).jpg,327,1080,180,201,boots
image no (130).jpg,64,203,632,888,vest
image no (130).jpg,67,1101,560,445,boots
image no (130).jpg,712,133,853,835,hardhat
image no (131).jpg,313,83,201,100,hardhat
image no (131).jpg,252,271,259,442,vest
image no (131).jpg,146,1084,176,160,boots
image no (131).jpg,491,1089,245,134,boots
image no (132).jpg,106,25,88,55,hardhat
image no (132).jpg,50,116,212,96,vest
image no (133).jpg,366,60,195,137,hardhat
image no (133).jpg,405,280,241,458,vest
image no (133).jpg,93,1037,236,199,boots
image no (133).jpg,581,1074,174,181,boots
image no (134).jpg,227,100,181,123,hardhat
image no (134).jpg,134,280,215,421,vest
image no (134).jpg,336,991,169,197,boots
image no (134).jpg,507,618,220,176,boots
image no (135).jpg,225,104,153,100,hardhat
image no (135).jpg,144,296,320,389,vest
image no (135).jpg,206,1079,262,162,boots
image no (136).jpg,134,24,52,42,hardhat
image no (136).jpg,121,115,95,145,vest
image no (136).jpg,62,428,156,53,boots
image no (137).jpg,229,197,52,33,hardhat
image no (137).jpg,488,189,79,46,hardhat
image no (137).jpg,773,190,58,37,hardhat
image no (137).jpg,1036,196,81,34,hardhat
image no (137).jpg,1319,189,58,44,hardhat
image no (137).jpg,203,248,120,159,vest
image no (137).jpg,203,248,120,159,mask
image no (137).jpg,203,248,120,159,mask
image no (137).jpg,487,259,82,165,vest
image no (137).jpg,205,468,108,67,boots
image no (137).jpg,477,480,111,61,boots
image no (137).jpg,769,259,96,153,vest
image no (137).jpg,765,458,82,77,boots
image no (137).jpg,1013,240,120,166,vest
