FileName,CX,CY,W,H,Class
image no (1).jpeg,624,196,78,64,mask
image no (1).jpeg,852,244,81,75,mask
image no (1).jpeg,480,216,68,44,mask
image no (1).jpeg,382,300,59,53,mask
image no (1).jpeg,112,207,126,71,mask
image no (1).jpeg,730,191,66,59,mask
image no (1).jpg,497,68,276,189,hardhat
image no (1).jpg,394,386,473,729,vest
image no (2).jpeg,81,162,168,107,hardhat
image no (2).jpg,150,10,90,51,hardhat
image no (2).jpg,386,5,72,25,hardhat
image no (2).jpg,116,96,138,172,vest
image no (2).jpg,343,71,149,133,vest
image no (3).jpg,203,11,132,95,hardhat
image no (3).jpg,281,107,234,314,vest
image no (4).jpg,313,186,108,216,vest
image no (4).jpg,32,134,184,213,vest
image no (4).png,318,19,251,183,hardhat
image no (5).jpg,404,290,444,630,vest
image no (5).png,170,216,46,90,vest
image no (5).png,226,229,47,80,vest
image no (5).png,191,185,30,27,hardhat
image no (5).png,245,195,29,26,hardhat
image no (6).jpg,159,20,119,64,hardhat
image no (6).jpg,166,177,193,154,vest
image no (6).png,165,2,217,71,hardhat
image no (7).jpg,186,40,123,179,vest
image no (7).jpg,414,92,92,179,vest
image no (7).jpg,523,100,63,140,vest
image no (7).jpg,99,381,81,33,boots
image no (7).png,288,27,306,180,hardhat
image no (7).png,223,443,466,650,vest
image no (8).jpg,892,126,286,193,hardhat
image no (8).jpg,1257,277,201,198,hardhat
image no (8).jpg,691,387,551,386,vest
image no (8).jpg,1335,563,249,233,vest
image no (8).png,57,86,110,126,vest
image no (8).png,32,366,120,46,boots
image no (11).jpg,34,119,528,788,boots
image no (13).jpg,90,138,714,904,boots
image no (14).jpg,133,591,421,359,boots
image no (15).jpg,213,110,250,266,boots
image no (15).jpg,500,175,300,335,boots
image no (15).jpg,889,298,382,390,boots
image no (16).jpg,117,1,549,579,boots
image no (17).jpg,24,355,620,550,boots
